# MEM start pass=1 working_set_mb=64.71
pass,frame,Frame,Frame/Input,Frame/Render,Frame/Render/Skybox,Frame/Render/Reflection,Frame/Render/Reflection/Skybox,Frame/Render/Reflection/Balls,Frame/Render/Balls,Frame/Render/Terrain,Frame/Render/Shadows,Frame/Render/Water,Frame/Physics,Frame/Physics/ApplyForces,Frame/Physics/Broadphase,Frame/Physics/Narrowphase,Frame/Physics/Terrain,Frame/Physics/Integrate,Frame/Text,Frame/PipelineSync,Frame/VsyncWait
1,29,17.1552,0.0056,0.2023,0.0049,0.0860,0.0007,0.0827,0.0657,0.0021,0.0375,0.0035,0.2286,0.0303,0.1137,0.0055,0.0280,0.0493,0.1691,0.0840,16.4644
1,30,15.6198,0.0085,0.2056,0.0103,0.0827,0.0009,0.0782,0.0655,0.0020,0.0380,0.0037,0.2351,0.0310,0.1080,0.0059,0.0298,0.0574,0.1960,0.0936,14.8791
1,31,16.1128,0.0094,0.2066,0.0104,0.0776,0.0015,0.0717,0.0698,0.0022,0.0385,0.0043,0.2147,0.0324,0.0938,0.0047,0.0298,0.0501,0.2070,0.1294,15.3437
1,32,17.0376,0.0086,0.2101,0.0092,0.0685,0.0017,0.0634,0.0848,0.0019,0.0379,0.0044,0.2154,0.0314,0.0953,0.0052,0.0310,0.0501,0.1969,0.0729,16.3319
1,33,18.4750,0.0071,0.1926,0.0108,0.0777,0.0009,0.0734,0.0569,0.0023,0.0374,0.0042,0.2164,0.0317,0.0964,0.0061,0.0302,0.0493,0.1929,0.1765,17.6876
1,34,14.8601,0.0099,0.1987,0.0097,0.0820,0.0009,0.0778,0.0598,0.0022,0.0381,0.0034,0.2161,0.0341,0.0903,0.0099,0.0299,0.0491,0.1930,0.1627,14.0777
1,35,17.4474,0.0086,0.1967,0.0093,0.0818,0.0009,0.0777,0.0598,0.0015,0.0375,0.0035,0.2005,0.0323,0.0812,0.0041,0.0297,0.0502,0.1883,0.1391,16.7118
1,36,16.7372,0.0358,0.2129,0.0094,0.0826,0.0016,0.0769,0.0719,0.0021,0.0398,0.0038,0.2341,0.0332,0.1105,0.0050,0.0312,0.0505,0.2221,0.1146,15.9159
1,37,17.1957,0.0085,0.2098,0.0096,0.0840,0.0009,0.0797,0.0621,0.0027,0.0401,0.0046,0.2219,0.0315,0.1023,0.0052,0.0299,0.0501,0.2040,0.0901,16.4594
1,38,16.4618,0.0566,0.2231,0.0103,0.0940,0.0017,0.0878,0.0619,0.0023,0.0453,0.0041,0.2235,0.0320,0.1023,0.0045,0.0306,0.0503,0.2171,0.1487,15.5902
1,39,17.2479,0.0909,0.2102,0.0102,0.0830,0.0010,0.0773,0.0655,0.0025,0.0401,0.0044,0.2235,0.0322,0.0998,0.0039,0.0312,0.0511,0.2331,0.1324,16.3547
1,40,15.2452,0.2177,0.2136,0.0113,0.0724,0.0014,0.0667,0.0763,0.0021,0.0425,0.0038,0.2346,0.0345,0.1079,0.0045,0.0316,0.0509,0.2106,0.3272,14.0386
1,41,18.0430,0.0126,0.2259,0.0096,0.0966,0.0016,0.0907,0.0592,0.0042,0.0449,0.0055,0.2313,0.0433,0.0876,0.0031,0.0406,0.0531,0.2429,0.2117,17.1159
1,42,15.8857,0.0134,0.2482,0.0135,0.1051,0.0018,0.0978,0.0694,0.0027,0.0452,0.0051,0.2099,0.0322,0.0897,0.0036,0.0302,0.0505,0.2289,0.1820,15.0005
1,43,16.6050,0.0107,0.2180,0.0095,0.0796,0.0016,0.0726,0.0784,0.0025,0.0396,0.0042,0.2239,0.0318,0.1038,0.0045,0.0304,0.0501,0.2210,0.1246,15.8049
1,44,16.1263,0.0096,0.2401,0.0105,0.0936,0.0016,0.0866,0.0765,0.0028,0.0459,0.0049,0.2446,0.0350,0.1207,0.0046,0.0314,0.0499,0.2442,0.1209,15.2641
1,45,18.1592,0.0079,0.2595,0.0115,0.1072,0.0018,0.0962,0.0777,0.0049,0.0465,0.0057,0.2797,0.0501,0.1150,0.0045,0.0480,0.0588,0.2737,0.0871,17.2490
1,46,15.4900,0.0103,0.2378,0.0112,0.0936,0.0010,0.0881,0.0738,0.0024,0.0463,0.0044,0.2303,0.0317,0.1078,0.0092,0.0298,0.0488,0.2951,0.1169,14.5969
1,47,16.3739,0.0163,0.2022,0.0094,0.0651,0.0008,0.0601,0.0783,0.0024,0.0400,0.0037,0.2833,0.0467,0.1287,0.0037,0.0453,0.0556,0.2125,0.0954,15.5620
1,48,16.3801,0.0244,0.1967,0.0090,0.0793,0.0106,0.0651,0.0608,0.0020,0.0386,0.0037,0.2522,0.0336,0.1307,0.0046,0.0311,0.0496,0.2275,0.0565,15.6206
1,49,16.1917,0.0075,0.2056,0.0097,0.0815,0.0008,0.0769,0.0641,0.0028,0.0392,0.0043,0.2709,0.0315,0.1524,0.0036,0.0305,0.0502,0.1963,0.1165,15.3932
1,50,18.0812,0.0067,0.1992,0.0082,0.0793,0.0009,0.0748,0.0644,0.0019,0.0387,0.0033,0.2701,0.0314,0.1522,0.0045,0.0301,0.0494,0.1975,0.0439,17.3619
1,51,16.5256,0.0076,0.2065,0.0095,0.0786,0.0009,0.0741,0.0685,0.0023,0.0400,0.0040,0.2718,0.0324,0.1523,0.0041,0.0299,0.0501,0.2254,0.1780,15.6346
1,52,16.3258,0.0074,0.2034,0.0078,0.0841,0.0010,0.0795,0.0637,0.0023,0.0389,0.0037,0.2707,0.0317,0.1488,0.0040,0.0309,0.0526,0.2080,0.0359,15.5982
1,53,15.8649,0.0116,0.2064,0.0104,0.0784,0.0009,0.0735,0.0658,0.0032,0.0400,0.0049,0.2563,0.0317,0.1340,0.0065,0.0306,0.0503,0.2124,0.1007,15.0755
1,54,16.2468,0.0074,0.1971,0.0091,0.0748,0.0010,0.0699,0.0648,0.0017,0.0393,0.0039,0.2653,0.0333,0.1442,0.0043,0.0305,0.0501,0.2074,0.0386,15.5291
1,55,16.7888,0.0070,0.1943,0.0105,0.0642,0.0009,0.0599,0.0696,0.0022,0.0404,0.0038,0.2480,0.0313,0.1282,0.0045,0.0309,0.0499,0.2104,0.0936,16.0338
1,56,17.7663,0.0079,0.2153,0.0100,0.0928,0.0009,0.0885,0.0632,0.0019,0.0396,0.0039,0.2507,0.0335,0.1293,0.0045,0.0301,0.0506,0.2148,0.0890,16.9867
1,57,16.6011,0.0071,0.2211,0.0103,0.0888,0.0011,0.0832,0.0603,0.0033,0.0463,0.0052,0.2536,0.0316,0.1327,0.0045,0.0311,0.0501,0.2091,0.1774,15.7303
1,58,15.9595,0.0065,0.1986,0.0071,0.0808,0.0011,0.0767,0.0655,0.0014,0.0380,0.0031,0.2435,0.0312,0.1260,0.0046,0.0298,0.0492,0.1961,0.0408,15.2723
1,59,17.2239,0.0069,0.1960,0.0058,0.0845,0.0009,0.0806,0.0603,0.0013,0.0383,0.0028,0.2470,0.0305,0.1333,0.0041,0.0286,0.0489,0.1870,0.0352,16.5501
1,60,15.9546,0.0072,0.1720,0.0067,0.0624,0.0008,0.0587,0.0564,0.0017,0.0380,0.0035,0.2564,0.0335,0.1359,0.0050,0.0294,0.0494,0.1907,0.0573,15.2691
# MEM periodic pass=1 working_set_mb=80.80
1,61,17.3802,0.0054,0.1670,0.0050,0.0618,0.0009,0.0584,0.0551,0.0021,0.0371,0.0031,0.2540,0.0300,0.1412,0.0043,0.0281,0.0487,0.1876,0.0379,16.7269
1,62,16.5581,0.0123,0.1855,0.0099,0.0662,0.0016,0.0614,0.0598,0.0024,0.0398,0.0039,0.2566,0.0364,0.1282,0.0050,0.0309,0.0522,0.2202,0.0947,15.7870
1,63,15.6594,0.0078,0.2012,0.0098,0.0640,0.0010,0.0591,0.0774,0.0020,0.0398,0.0044,0.2349,0.0324,0.1117,0.0051,0.0318,0.0505,0.2250,0.0792,14.9088
1,64,16.0201,0.0071,0.1802,0.0084,0.0650,0.0009,0.0610,0.0575,0.0019,0.0398,0.0040,0.2472,0.0323,0.1254,0.0051,0.0323,0.0499,0.1944,0.0797,15.3098
1,65,18.5086,0.0148,0.1853,0.0086,0.0672,0.0010,0.0626,0.0583,0.0029,0.0403,0.0047,0.2652,0.0327,0.1437,0.0051,0.0307,0.0507,0.1994,0.0699,17.7722
1,66,16.5044,0.0091,0.2206,0.0087,0.0797,0.0011,0.0754,0.0730,0.0022,0.0493,0.0045,0.3587,0.0518,0.1760,0.0064,0.0516,0.0694,0.2038,0.0495,15.6607
1,67,16.7662,0.0066,0.1814,0.0070,0.0657,0.0007,0.0620,0.0590,0.0024,0.0402,0.0039,0.2675,0.0318,0.1477,0.0050,0.0301,0.0498,0.2069,0.0405,16.0616
1,68,17.9534,0.0063,0.1787,0.0081,0.0650,0.0009,0.0606,0.0565,0.0020,0.0402,0.0038,0.2735,0.0315,0.1542,0.0058,0.0300,0.0500,0.1850,0.0380,17.2704
1,69,15.4083,0.0072,0.1794,0.0068,0.0655,0.0008,0.0616,0.0569,0.0027,0.0405,0.0043,0.2876,0.0310,0.1675,0.0056,0.0309,0.0498,0.2106,0.0322,14.6897
1,70,16.9703,0.0070,0.1832,0.0094,0.0631,0.0009,0.0586,0.0609,0.0025,0.0408,0.0036,0.2901,0.0314,0.1691,0.0044,0.0341,0.0481,0.2114,0.1502,16.1265
1,71,15.1784,0.0080,0.1855,0.0092,0.0662,0.0008,0.0619,0.0602,0.0017,0.0414,0.0036,0.3440,0.0384,0.1979,0.0052,0.0380,0.0617,0.2062,0.0410,14.3924
1,72,16.1171,0.0050,0.1732,0.0054,0.0636,0.0009,0.0601,0.0584,0.0011,0.0391,0.0027,0.2660,0.0299,0.1508,0.0045,0.0308,0.0478,0.1908,0.0288,15.4520
1,73,19.1816,0.0172,0.2025,0.0032,0.0630,0.0008,0.0604,0.0817,0.0016,0.0482,0.0032,0.2590,0.0301,0.1466,0.0043,0.0280,0.0486,0.2007,0.0337,18.4672
1,74,14.7897,0.0063,0.1822,0.0068,0.0681,0.0009,0.0639,0.0591,0.0017,0.0402,0.0036,0.2680,0.0335,0.1446,0.0060,0.0316,0.0496,0.1878,0.0408,14.1028
1,75,16.6722,0.0076,0.1778,0.0065,0.0656,0.0016,0.0611,0.0570,0.0018,0.0407,0.0034,0.2477,0.0308,0.1304,0.0056,0.0299,0.0489,0.1842,0.0588,15.9945
1,76,16.6086,0.0102,0.1749,0.0073,0.0629,0.0008,0.0594,0.0560,0.0020,0.0403,0.0037,0.2278,0.0303,0.1115,0.0053,0.0295,0.0488,0.1827,0.0367,15.9747
1,77,15.9368,0.0077,0.1740,0.0059,0.0631,0.0009,0.0593,0.0556,0.0024,0.0403,0.0039,0.2419,0.0349,0.1211,0.0058,0.0292,0.0490,0.1849,0.0404,15.2866
1,78,16.4649,0.0070,0.1754,0.0079,0.0617,0.0009,0.0578,0.0580,0.0017,0.0400,0.0028,0.2155,0.0305,0.0975,0.0061,0.0296,0.0488,0.2002,0.0619,15.8028
1,79,18.1326,0.0074,0.1817,0.0084,0.0649,0.0008,0.0604,0.0586,0.0022,0.0407,0.0035,0.2345,0.0314,0.1142,0.0067,0.0305,0.0496,0.1978,0.1097,17.3995
1,80,16.6310,0.0071,0.1777,0.0086,0.0641,0.0008,0.0599,0.0564,0.0020,0.0404,0.0034,0.2468,0.0312,0.1247,0.0073,0.0328,0.0479,0.1988,0.0395,15.9591
1,81,15.6682,0.0067,0.1755,0.0055,0.0639,0.0009,0.0601,0.0565,0.0022,0.0408,0.0037,0.2657,0.0309,0.1481,0.0048,0.0321,0.0480,0.1864,0.0339,14.9986
